Match Number,Round Number,Date,Location,Home Team,Away Team,Result
97,2,09/04/2021 00:10,Minute Maid Park,Houston Astros,Oakland Athletics,6 - 2
98,2,09/04/2021 19:10,Tropicana Field,Tampa Bay Rays,New York Yankees,10 - 5
99,2,09/04/2021 20:10,Dodger Stadium,Los Angeles Dodgers,Washington Nationals,1 - 0
100,2,09/04/2021 20:35,Oracle Park,San Francisco Giants,Colorado Rockies,3 - 1
101,2,09/04/2021 23:07,TD Ballpark,Toronto Blue Jays,Los Angeles Angels,1 - 7
102,2,09/04/2021 23:10,Progressive Field,Cleveland Indians,Detroit Tigers,4 - 1
103,2,09/04/2021 23:20,Truist Park,Atlanta Braves,Philadelphia Phillies,8 - 1
104,2,10/04/2021 00:05,Globe Life Field,Texas Rangers,San Diego Padres,0 - 3
105,2,10/04/2021 00:10,Minute Maid Park,Houston Astros,Oakland Athletics,2 - 6
106,2,10/04/2021 01:40,Chase Field,Arizona Diamondbacks,Cincinnati Reds,5 - 6
107,2,10/04/2021 17:10,Citi Field,New York Mets,Miami Marlins,0 - 3
108,2,10/04/2021 17:10,Tropicana Field,Tampa Bay Rays,New York Yankees,4 - 0
109,2,10/04/2021 18:10,Target Field,Minnesota Twins,Seattle Mariners,3 - 4
110,2,10/04/2021 18:15,Busch Stadium,St. Louis Cardinals,Milwaukee Brewers,5 - 9
111,2,10/04/2021 20:05,Minute Maid Park,Houston Astros,Oakland Athletics,3 - 7
112,2,10/04/2021 20:05,Oracle Park,San Francisco Giants,Colorado Rockies,4 - 3
113,2,10/04/2021 22:10,Progressive Field,Cleveland Indians,Detroit Tigers,11 - 3
114,2,10/04/2021 22:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,8 - 2
115,2,10/04/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,4 - 6
116,2,10/04/2021 23:05,Globe Life Field,Texas Rangers,San Diego Padres,4 - 7
117,2,10/04/2021 23:07,TD Ballpark,Toronto Blue Jays,Los Angeles Angels,15 - 1
118,2,10/04/2021 23:20,Truist Park,Atlanta Braves,Philadelphia Phillies,5 - 4
119,2,11/04/2021 00:10,Chase Field,Arizona Diamondbacks,Cincinnati Reds,8 - 3
120,2,11/04/2021 01:10,Dodger Stadium,Los Angeles Dodgers,Washington Nationals,9 - 5
121,2,11/04/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,9 - 14
122,2,11/04/2021 17:05,PNC Park,Pittsburgh Pirates,Chicago Cubs,7 - 1
123,2,11/04/2021 17:10,Progressive Field,Cleveland Indians,Detroit Tigers,5 - 2
124,2,11/04/2021 17:10,Citi Field,New York Mets,Miami Marlins,6 - 5
125,2,11/04/2021 17:10,Tropicana Field,Tampa Bay Rays,New York Yankees,4 - 8
126,2,11/04/2021 18:10,Target Field,Minnesota Twins,Seattle Mariners,6 - 8
127,2,11/04/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,3 - 4
128,2,11/04/2021 18:15,Busch Stadium,St. Louis Cardinals,Milwaukee Brewers,3 - 9
129,2,11/04/2021 18:35,Globe Life Field,Texas Rangers,San Diego Padres,0 - 2
130,2,11/04/2021 20:05,Oracle Park,San Francisco Giants,Colorado Rockies,4 - 0
131,2,11/04/2021 20:10,Chase Field,Arizona Diamondbacks,Cincinnati Reds,7 - 0
132,2,11/04/2021 20:10,Dodger Stadium,Los Angeles Dodgers,Washington Nationals,3 - 0
133,2,11/04/2021 23:08,Truist Park,Atlanta Braves,Philadelphia Phillies,6 - 7
134,2,12/04/2021 22:35,PNC Park,Pittsburgh Pirates,San Diego Padres,2 - 6
135,2,12/04/2021 23:07,TD Ballpark,Toronto Blue Jays,New York Yankees,1 - 3
136,2,12/04/2021 23:10,Tropicana Field,Tampa Bay Rays,Texas Rangers,1 - 0
137,2,12/04/2021 23:20,Truist Park,Atlanta Braves,Miami Marlins,3 - 5
138,2,12/04/2021 23:40,American Family Field,Milwaukee Brewers,Chicago Cubs,6 - 3
139,2,12/04/2021 23:45,Busch Stadium,St. Louis Cardinals,Washington Nationals,2 - 5
140,2,13/04/2021 00:10,Minute Maid Park,Houston Astros,Detroit Tigers,2 - 6
141,2,13/04/2021 00:10,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,3 - 10
142,2,13/04/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,4 - 3
143,2,13/04/2021 01:40,Chase Field,Arizona Diamondbacks,Oakland Athletics,5 - 9
144,2,13/04/2021 01:45,Oracle Park,San Francisco Giants,Cincinnati Reds,0 - 3
